 trade_no,symbol,side,entry_time,exit_time,held_s,entry_price,exit_price,move_usd,pnl_usdt,exit_reason,entry_gap
1,BTCUSDT,LONG,2026-03-14 11:33:33,2026-03-14 12:45:02,4286.6,70625.4,70601.6,-23.8,-0.1666,opposite_cross_SHORT,112.38440404040739
2,BTCUSDT,SHORT,2026-03-14 12:45:02,2026-03-14 13:06:02,1257.1,70632.7,70698.1,-65.4,-0.4578,opposite_cross_LONG,7.935878787873662
3,BTCUSDT,LONG,2026-03-14 13:07:00,2026-03-14 14:26:01,4739.8,70705.7,70750.5,44.8,0.3136,opposite_cross_SHORT,6.385252525258693
1,BTCUSDT,SHORT,2026-03-16 03:19:48,2026-03-16 03:26:01,371.1,72579.9,72744.6,-164.7,-1.1529,opposite_cross_LONG,35.96343434342998
2,BTCUSDT,LONG,2026-03-16 03:26:01,2026-03-16 03:34:32,509.9,72712.7,73724.2,1011.5,7.0805,take_profit,12.114303030306473
1,BTCUSDT,LONG,2026-03-16 05:01:17,2026-03-16 06:19:01,4663.0,73798.6,73731.9,-66.7,-0.4669,opposite_cross_SHORT,174.6046464646497
1,BTCUSDT,LONG,2026-03-22 04:25:34,2026-03-22 04:37:02,685.9,69274.6,69297.9,23.3,0.1631,opposite_cross_SHORT,0.0
2,BTCUSDT,SHORT,2026-03-22 04:37:02,2026-03-22 11:41:04,25440.4,69318.7,68307.6,1011.1,7.0777,take_profit,5.337777777778683
3,BTCUSDT,SHORT,2026-03-22 11:42:00,2026-03-22 12:32:01,2999.6,68313.9,68591.8,-277.9,-1.9453,opposite_cross_LONG,132.4680404040555
1,BTCUSDT,LONG,2026-03-22 16:16:13,2026-03-22 16:21:01,287.0,68599.1,68701.2,102.1,0.7147,opposite_cross_SHORT,0.0
2,BTCUSDT,SHORT,2026-03-22 16:21:01,2026-03-22 17:06:01,2698.3,68684.6,68763.3,-78.7,-0.5509,opposite_cross_LONG,5.007555555552244
3,BTCUSDT,LONG,2026-03-22 17:06:01,2026-03-22 17:43:01,2218.2,68763.3,68677.6,-85.7,-0.5999,opposite_cross_SHORT,8.3557171717257
1,BTCUSDT,SHORT,2026-05-21 07:49:53,2026-05-21 07:54:00,246.9,77728.6,77780.0,-51.4,-0.3598,opposite_cross_LONG,0.0
1,BTCUSDT,LONG,2026-05-21 08:26:08,2026-05-21 09:27:00,3651.2,77732.9,77887.9,155.0,3.255,opposite_cross_SHORT,0.0
